Accuracy,Balanced_Accuracy,Precision,Attack_Recall,Specificity,F1,MCC,FPR,FNR,TN,FP,FN,TP,ROC_AUC,PR_AUC,Brier,ECE_10,Run_ID,Task,Protocol,Model,Seed,Held_Out_Attack,Training_Rows,Testing_Rows,Training_Attacks,Testing_Attacks,Feature_Count,Training_Seconds,Inference_Seconds,Flows_Per_Second
0.99888,0.999135176967197,0.993752065122706,0.9995166017100214,0.9987537522243726,0.9966259978912488,0.9959605494971896,0.0012462477756274,0.0004833982899785,166693,208,16,33083,0.99997060002394,0.9998464481354944,0.0008992178482003,0.0009103707358425,random_xgboost_42,binary,random,xgboost,42,,600000,200000,99297,33099,78,11.258337199999914,0.1631647000003795,1225755.32575082
0.999225,0.999426810868265,0.9956207444734396,0.9997289319920488,0.9991246897444812,0.99767060909815,0.9972088279612168,0.0008753102555186,0.0002710680079513,166652,146,9,33193,0.9999875852902907,0.9999356250579298,0.0005897533264942,0.000681611254884,group_xgboost_42,binary,group,xgboost,42,,600000,200000,99081,33202,78,10.749288999999408,0.1459045999999944,1370758.7012335984
0.68838,0.5609364983114513,0.9973514509442654,0.1220512386911304,0.999821757931772,0.2174873816638625,0.286117005748142,0.0001782420682279,0.8779487613088696,129015,23,62301,8661,0.8288167881878599,0.8036115548378362,0.2706925272941589,0.294306349304514,temporal_xgboost_42,binary,temporal,xgboost,42,,600000,200000,63030,70962,78,10.071616000000176,0.1442535999995016,1386447.2013224696
0.673945,0.5606702756952013,0.9982281284606866,0.1214677464997507,0.999872804890652,0.216581169884309,0.2823141130888728,0.000127195109348,0.8785322535002493,125775,16,65195,9014,0.82785202842766,0.8104056417835855,0.2834495306015014,0.3081439519493468,temporal_novel_xgboost_42,binary,temporal_novel,xgboost,42,,600000,200000,63030,74209,78,9.917613999999958,0.1438594000001103,1390246.3099376657
0.98979,0.4997626885868357,0.0,0.0,0.9995253771736716,0.0,-0.0021505813350059,0.0004746228263284,1.0,197958,94,1948,0,0.8817972446910112,0.0414385486693438,0.0101418672129511,0.0101276547528764,unseen_xgboost_42_Bot,binary,unseen,xgboost,42,Bot,600000,200000,118564,1948,78,11.152109600000584,0.18433289999939,1084993.5090299223
0.763435,0.8150201391626694,0.9992699465452386,0.630859847981814,0.9991804303435248,0.7734344696806448,0.6162648196976844,0.0008195696564752,0.3691401520181859,71930,59,47254,80757,0.9846741217344356,0.989393218173134,0.2381144016981125,0.2608649675226692,unseen_xgboost_42_DDoS,binary,unseen,xgboost,42,DDoS,600000,200000,88442,128011,78,11.176790800000164,0.155445200000031,1286627.0557081213
0.98167,0.828994212991754,0.977207155222158,0.6588212410036958,0.9991671849798122,0.7870338096897874,0.7943774313862407,0.0008328150201878,0.3411787589963042,189560,158,3508,6774,0.9992480526574974,0.9842341473788484,0.0154075780883431,0.0165201880432106,unseen_xgboost_42_DoS GoldenEye,binary,unseen,xgboost,42,DoS GoldenEye,600000,200000,116683,10282,78,11.461115099999915,0.2253841000001557,887374.042800099
0.93468,0.961791084793112,0.9998434398151336,0.9244978198810634,0.9990843497051606,0.9606955893856428,0.7904049933453354,0.0009156502948393,0.0755021801189366,27278,25,13039,159658,0.9995535841488822,0.999862262128275,0.0539253316819667,0.0842114817422721,unseen_xgboost_42_DoS Hulk,binary,unseen,xgboost,42,DoS Hulk,600000,200000,76839,172697,78,11.234469199999694,0.1475465000003168,1355504.8747314946
0.98312,0.6923869520811896,0.9247706422018348,0.3856159143075746,0.9991579898548046,0.5442764578833693,0.5912529433917455,0.0008420101451954,0.6143840856924254,194608,164,3212,2016,0.9986528630199064,0.9483686627073408,0.0101024014875292,0.012299317161731,unseen_xgboost_42_DoS Slowhttptest,binary,unseen,xgboost,42,DoS Slowhttptest,600000,200000,117826,5228,78,9.964397699999608,0.1426032999997915,1402492.0881935582
0.999085,0.9982627855532438,0.9694228333634884,0.9973938942665674,0.9991316768399202,0.9832094687586016,0.9828442925283382,0.0008683231600797,0.0026061057334326,194459,169,14,5358,0.999808515991199,0.989786909319394,0.0007845142390578,0.0006768372221719,unseen_xgboost_42_DoS slowloris,binary,unseen,xgboost,42,DoS slowloris,600000,200000,117793,5372,78,10.083442500000274,0.1447891000007075,1381319.4501452297
