Protocol,Model,Held_Out_Attack,Runs,Accuracy_Mean,Balanced_Accuracy_Mean,Attack_Recall_Mean,F1_Mean,MCC_Mean,PR_AUC_Mean,FPR_Mean,FNR_Mean
group,decision_tree,,3,0.9991316666666666,0.9988874974589903,0.9985221513093231,0.9973834724318786,0.9968639048956969,0.9961103598081364,0.0007471563913422999,0.0014778486906768667
group,linear_svm,,3,0.9345833333333333,0.9512699600947722,0.9762336555426513,0.8318805875846375,0.805923134766595,0.9414637452344014,0.07369373535310664,0.023766344457348803
group,logistic_regression,,3,0.8731816666666666,0.9091135505696021,0.9628705027366262,0.7157066520285144,0.677492566079458,0.8811270144751479,0.14464340159742203,0.03712949726337363
group,random_forest,,3,0.9991433333333334,0.9984191901804325,0.9973358330042323,0.9974158075609507,0.9969023785396338,0.9998351474536521,0.0004974526433674,0.002664166995767433
group,xgboost,,3,0.9992566666666667,0.9993612453349261,0.9995176151568307,0.9977617420078203,0.9973183511264199,0.9999134055157718,0.0007951244869781668,0.00048238484316943334
random,decision_tree,,3,0.9988116666666667,0.9984806404945182,0.9979858404584228,0.9964155156269379,0.9957051152084796,0.9943914534173133,0.001024559469385967,0.0020141595415772333
random,linear_svm,,3,0.9346399999999999,0.9512233958213638,0.9760113598598146,0.8317247098752406,0.8057956900073022,0.9412068062429116,0.07356456821708673,0.023988640140185466
random,logistic_regression,,3,0.8749783333333333,0.9101036711047973,0.9626071281106175,0.7181897018725568,0.6802580368546675,0.8875400997060625,0.1423997859010231,0.0373928718893823
random,random_forest,,3,0.9988783333333333,0.9981814928915705,0.9971398934509602,0.9966129345601833,0.9959411288522465,0.9997224842684777,0.0007769076678190333,0.0028601065490397003
random,xgboost,,3,0.9989500000000001,0.9991730811952276,0.9995065309123135,0.9968362078761864,0.9962118954100575,0.9998668252283346,0.0011603685218582,0.0004934690876863667
temporal,decision_tree,,3,0.7247983333333333,0.6134497631582186,0.22999163871743558,0.3626620286880118,0.38412755079411526,0.49913020974183303,0.003092112400998067,0.7700083612825642
temporal,linear_svm,,3,0.8360566666666666,0.782967910821536,0.6001427994325601,0.722043763483601,0.6386172595930693,0.7469360720163677,0.0342069777894883,0.39985720056743973
temporal,logistic_regression,,3,0.7827216666666666,0.7064475225224583,0.4437774207791964,0.5917043660843865,0.517367059115932,0.8091573739882945,0.030882375734279797,0.5562225792208036
temporal,random_forest,,3,0.7547533333333334,0.654500781543289,0.3092547184878291,0.46555657674681544,0.46895327821145233,0.7860989969528749,0.00025315540125126667,0.690745281512171
temporal,xgboost,,3,0.7108016666666667,0.5925247649147614,0.18520710615070976,0.3056765789886949,0.35111596528434447,0.8060099570417805,0.00015757632118696668,0.8147928938492903
temporal_novel,decision_tree,,3,0.7120266666666667,0.6130968090120161,0.22951394035763853,0.36187060668433046,0.3791388574341774,0.5112297918244374,0.0033203223336062335,0.7704860596423614
temporal_novel,linear_svm,,3,0.8317,0.7838986053659228,0.5985572280091813,0.7252171343579152,0.6409407742835417,0.7557936094192114,0.030760017277335665,0.4014427719908187
temporal_novel,logistic_regression,,3,0.7731216666666666,0.7054681670615666,0.44315379536174854,0.5917422111925781,0.5117936965470505,0.814730975656316,0.032217461238615366,0.5568462046382514
temporal_novel,random_forest,,3,0.7432783333333332,0.6541378526433234,0.3085115462185628,0.4647688444118658,0.46388064430371356,0.7910181010265863,0.00023584093191613334,0.6914884537814371
temporal_novel,xgboost,,3,0.6972533333333333,0.5920876027718774,0.18432624973610565,0.3045622384675843,0.34653109567650775,0.812429447755424,0.00015104419235076666,0.8156737502638943
unseen,decision_tree,Bot,3,0.9897133333333333,0.49972397821447573,0.0,0.0,-0.002318724769442767,0.00974,0.0005520435710486333,1.0
unseen,decision_tree,DDoS,3,0.7627666666666667,0.8145284445254379,0.6297375485960842,0.7726235051109223,0.6154946875022866,0.8664305267006727,0.0006806595452082,0.3702624514039157
unseen,decision_tree,DoS GoldenEye,3,0.9736016666666666,0.750033152875349,0.5008428969720548,0.6610442605492755,0.6877054978096996,0.514299543055301,0.0007765912213565333,0.4991571030279453
unseen,decision_tree,DoS Hulk,3,0.8186366666666668,0.8946785536332768,0.7900774188318268,0.8672781163542553,0.654179925767075,0.9712423843132596,0.0007203115652736,0.20992258116817317
unseen,decision_tree,DoS Slowhttptest,3,0.9800533333333332,0.631804963484846,0.264345830145371,0.40016763614954387,0.47357740390833897,0.2578387835851727,0.0007359031756788667,0.735654169854629
unseen,decision_tree,DoS slowloris,3,0.9972283333333335,0.9622225915618966,0.9252295855050882,0.9471598525208803,0.9460509071259988,0.9060226831232675,0.0007844023812948667,0.07477041449491184
unseen,decision_tree,FTP-Patator,3,0.9790783333333333,0.6604341126599964,0.3216995447647951,0.47698223659539085,0.537908230825504,0.32381137880777155,0.0008313194448022333,0.6783004552352049
unseen,decision_tree,Heartbleed,3,0.9991483333333333,0.4996016447571283,0.0,0.0,-0.00020872137699303332,5.5e-05,0.0007967104857433334,1.0
unseen,decision_tree,Infiltration,3,0.9989916666666666,0.5134721472087197,0.027777777777777696,0.010019958255252334,0.012636273619090733,0.0004296117017692667,0.0008334833603381332,0.9722222222222222
unseen,decision_tree,PortScan,3,0.552075,0.5030961704325408,0.006856762454232733,0.013604615752717765,0.052086674376228,0.45392131769172384,0.0006644215891507666,0.9931432375457673
unseen,decision_tree,SSH-Patator,3,0.9831533333333334,0.5004328818549739,0.0016568292430361334,0.0031606672519753666,0.004043200281921333,0.016182174666100068,0.0007910655330883332,0.9983431707569639
unseen,decision_tree,Web Attack - Brute Force,3,0.9985766666666667,0.9576435668375712,0.9160997732426304,0.9041501826861991,0.90365358346814,0.8421138563505598,0.0008126395674876667,0.08390022675736959
unseen,decision_tree,Web Attack - SQL Injection,3,0.9991266666666666,0.8329141226495448,0.6666666666666666,0.14282615949282615,0.23039335800539798,0.07126835319622243,0.0008384213675769001,0.33333333333333326
unseen,decision_tree,Web Attack - XSS,3,0.9989766666666666,0.9635615993619774,0.9279141104294478,0.8556252699994044,0.8578793771691199,0.7828009075229515,0.0007909117054931666,0.07208588957055213
unseen,linear_svm,Bot,3,0.9198149999999999,0.593962292316485,0.26163586584531145,0.05974438124610704,0.0698235847529744,0.03710422567382643,0.07371128121234145,0.7383641341546886
unseen,linear_svm,DDoS,3,0.7537783333333333,0.7983567297287338,0.6392106928310848,0.768693006147935,0.5794839790242938,0.9821616480156349,0.04249723337361724,0.36078930716891516
unseen,linear_svm,DoS GoldenEye,3,0.906755,0.7278144711384296,0.5283667250210724,0.3681254383211104,0.3412848663895199,0.5566805642689686,0.07273778274421329,0.47163327497892754
unseen,linear_svm,DoS Hulk,3,0.7396116666666668,0.8189625070806915,0.7098096666415746,0.8246723937767632,0.4522414861004078,0.9655996634527543,0.07188465248019137,0.2901903333584254
unseen,linear_svm,DoS Slowhttptest,3,0.9076550000000001,0.5448717822309236,0.16207600102014788,0.08394838567220736,0.0544006953998998,0.07397776985677453,0.07233243655830061,0.8379239989798521
unseen,linear_svm,DoS slowloris,3,0.9200366666666667,0.8091571899707146,0.6919831223628692,0.31736873486243294,0.3488395416965124,0.5732613237881306,0.07366874242143984,0.3080168776371308
unseen,linear_svm,FTP-Patator,3,0.91929,0.7991269210160578,0.6713876243466532,0.33041184299499377,0.3531022568194621,0.23171898232897123,0.07313378231453756,0.3286123756533468
unseen,linear_svm,Heartbleed,3,0.9267666666666666,0.9482306375335493,0.9696969696969697,0.0014541756393142001,0.025508292697498866,0.6340120523872393,0.07323569462987127,0.0303030303030303
unseen,linear_svm,Infiltration,3,0.9268083333333333,0.5282907404814349,0.12962962962962962,0.0006384781679017,0.0029230576079112337,0.009054574087443335,0.07304814866675996,0.8703703703703703
unseen,linear_svm,PortScan,3,0.5219383333333333,0.47526909704330916,0.0024298235881503997,0.004560079137791301,-0.1452022162897754,0.7053683182776238,0.05189162950153207,0.9975701764118495
unseen,linear_svm,SSH-Patator,3,0.9123316666666668,0.4677022406711932,0.008284146215180635,0.0030317643584530335,-0.03147926740595133,0.011563122187174965,0.07287966487279424,0.9917158537848193
unseen,linear_svm,Web Attack - Brute Force,3,0.91979,0.46363787443149324,0.0006802721088434999,0.00012467623092593332,-0.023898335337471033,0.024998058927209035,0.07340452324585701,0.9993197278911564
unseen,linear_svm,Web Attack - SQL Injection,3,0.9261966666666667,0.4869539873115248,0.047619047619047596,0.00013550184160803335,-0.0010229907266898332,0.00014083062029260002,0.07371107299599787,0.9523809523809524
unseen,linear_svm,Web Attack - XSS,3,0.92338,0.4777229288954384,0.0291411042944785,0.0024740416776188666,-0.009728682404544534,0.013890792299228833,0.07369524650360165,0.9708588957055214
unseen,logistic_regression,Bot,3,0.8554366666666667,0.7302961197989015,0.6026694045174538,0.0751193071794777,0.12790879964852073,0.024820524769249435,0.1420771649196507,0.3973305954825462
unseen,logistic_regression,DDoS,3,0.7176649999999999,0.7483193210447485,0.6388825960269039,0.743373094740586,0.47828216667213524,0.9531020985089822,0.14224395393740705,0.361117403973096
unseen,logistic_regression,DoS GoldenEye,3,0.8640533333333332,0.9126284315839605,0.9667704078324579,0.4223761498039807,0.4703949887174021,0.6715249718029738,0.14151354466453717,0.03322959216754197
