Held_Out_Attack,decision_tree,linear_svm,logistic_regression,random_forest,xgboost
Bot,0.0,0.26163586584531145,0.6026694045174538,0.0,0.0
DDoS,0.6297375485960842,0.6392106928310848,0.6388825960269039,0.6351641655795205,0.6312738749013757
DoS GoldenEye,0.5008428969720548,0.5283667250210724,0.9667704078324579,0.4926732801659859,0.6950009725734293
DoS Hulk,0.7900774188318268,0.7098096666415746,0.7257431609504893,0.322599697736498,0.9081145976286019
DoS Slowhttptest,0.264345830145371,0.16207600102014788,0.18464677378219838,0.2957153787299158,0.3911629686304514
DoS slowloris,0.9252295855050882,0.6919831223628692,0.3871308016877637,0.894018366840407,0.9972077438570365
FTP-Patator,0.3216995447647951,0.6713876243466532,0.672174450626651,0.0006182206485696,0.3127072444219637
Heartbleed,0.0,0.9696969696969697,0.0303030303030303,0.0,0.0
Infiltration,0.027777777777777696,0.12962962962962962,0.1111111111111111,0.0,0.0
PortScan,0.006856762454232733,0.0024298235881503997,0.0016346758386034336,0.0017456266873774,0.006213247531343567
SSH-Patator,0.0016568292430361334,0.008284146215180635,0.009009009009009,0.006006006006005933,0.0108729419074246
Web Attack - Brute Force,0.9160997732426304,0.0006802721088434999,0.0027210884353741,0.8292517006802721,0.9070294784580498
Web Attack - SQL Injection,0.6666666666666666,0.047619047619047596,0.2857142857142857,0.4920634920634921,0.8253968253968255
Web Attack - XSS,0.9279141104294478,0.0291411042944785,0.0322085889570552,0.9314928425357873,0.9739263803680981
